FID,Shape *,LAB_REF,C14AGE,C14_STANDA,Period,COUNTY,Country,C14_MATERIAL,SITE_NAME,Overall context,C14_TAXON_,SPECIES_TR,MUNICIPALI,LATITUDE,LONGITUDE,Bioregion
39,Point,T-5923,970,140,1000-1200 AD,Oppland,Norway,Charcoal,Veslefossen,Other,"Picea, Juniper, Alnus, Betula",Juniper,Nordre Land,60.879,9.986,Boreal
40,Point,T-5923,970,140,1000-1200 AD,Oppland,Norway,Charcoal,Veslefossen,Other,"Picea, Juniper, Alnus, Betula",Alnus,Nordre Land,60.879,9.986,Boreal
41,Point,T-7916,740,140,1200-1400 AD,Oppland,Norway,Charcoal,Dokkfløyvatn,Settlement site,Pinus,Pinus,Gausdal,61.1667,9.95,Alpine
42,Point,T-7909,550,140,1200-1400 AD,Oppland,Norway,Charcoal,Dokkfløyvatn,Settlement site,Pinus,Pinus,Gausdal,61.1667,9.95,Alpine
43,Point,T-7918,620,140,1200-1400 AD,Oppland,Norway,Wood,Dokkfløyvatn,Other,Pinus,Pinus,Gausdal,61.1667,9.95,Alpine
44,Point,T-5922,370,140,1600-1800 AD,Oppland,Norway,Charcoal,Aurlund Søndre,Other,"Juniper, Picea",Picea,Nordre Land,60.8157,10.1211,Boreal
45,Point,T-5922,370,140,1600-1800 AD,Oppland,Norway,Charcoal,Aurlund Søndre,Other,"Juniper, Picea",Juniper,Nordre Land,60.8157,10.1211,Boreal
46,Point,T-6997,1690,140,200-400 AD,Aust-Agder,Norway,Charcoal,Horverak,Iron production site,Pinus,Pinus,Bygland,58.6822,7.7832,Boreal
47,Point,T-5649,2240,140,400-200 BC,Vestfold,Norway,Charcoal,Fevang,Other,Betula,Betula,Sandefjord,59.2,10.25,Boreal
48,Point,T-6556,1530,140,400-600 AD,Aust-Agder,Norway,Charcoal,Vassenden,Settlement site,Pinus,Pinus,Bygland,58.6619,7.8116,Boreal
49,Point,T-5923,970,140,600-800 AD,Oppland,Norway,Charcoal,Veslefossen,Other,"Picea, Juniper, Alnus, Betula",Betula,Nordre Land,60.879,9.986,Boreal
50,Point,T-6988,940,140,600-800 AD,Aust-Agder,Norway,Charcoal,Hovden,Iron production site,Betula,Betula,Bykle,59.5667,7.3833,Alpine
51,Point,T-6830,7720,140,7000-6500 BC,Vestfold,Norway,Charcoal,Hørdalen,Other,Betula,Betula,Sandefjord,59.2,10.2333,Boreal
52,Point,T-2194,8590,140,8000-7500 BC,Østfold,Norway,Hazel nutshell,Tørkop,Other,Hazel nutshell,Corylus,Halden,59.1,11.4333,Boreal
53,Point,T-6085,1040,140,800-1000 AD,Aust-Agder,Norway,Charcoal,Rysstad,Iron production site,Pinus,Pinus,Valle,59.0833,7.5333,Boreal
54,Point,T-9873,374,139,1600-1800 AD,Vestfold,Norway,Husk,Gunnerød,Other,Fagus,fagus,Borre,59.3667,10.4667,Boreal
55,Point,T-4923,920,130,1000-1200 AD,Buskerud,Norway,Wood,Nymoen,Settlement site,Pinus,Pinus,Ringerike,60.2167,10.2,Boreal
56,Point,T-9617,1934,130,1-200 AD,Buskerud,Norway,Charcoal,Elstangen,Settlement site,Salix,Salix,Hol,60.0523,10.28,Boreal
57,Point,T-6986,420,130,1200-1400 AD,Aust-Agder,Norway,Charcoal,Stavenes,Other,Betula,Betula,Bykle,59.35,7.3833,Boreal
58,Point,Tra-328,1660,130,200-400 AD,Østfold,Norway,Charcoal,Tune store,Other,Betula,Betula,Sarpsborg,59.2928,11.0789,Boreal
59,Point,Ua-373,1430,130,200-400 AD,Buskerud,Norway,Charcoal,Hersgård,Iron production site,Betula,Betula,Gol,60.719,9.019,Boreal
60,Point,T-7704,3980,130,2600-2400 BC,Oppland,Norway,Charcoal,Dokkfløyvatn,Settlement site,Pinus,Pinus,Gausdal,61.1667,9.95,Alpine
61,Point,T-3537,4210,130,2800-2600 BC,Aust-Agder,Norway,Charcoal,Hæstad,Settlement site,"Corylus, Pinus",Corylus,Lillesand,58.1523,8.209,Boreal
62,Point,T-3537,4210,130,2800-2600 BC,Aust-Agder,Norway,Charcoal,Hæstad,Settlement site,"Corylus, Pinus",Pinus,Lillesand,58.1523,8.209,Boreal
63,Point,T-4748,2180,130,400-200 BC,Oppland,Norway,Charcoal,Lomen,Other,"Pinus, Salix, Betula",Salix,Vestre Slidre,61.061,8.996,Alpine
64,Point,T-4748,2180,130,400-200 BC,Oppland,Norway,Charcoal,Lomen,Other,"Pinus, Salix, Betula",Pinus,Vestre Slidre,61.061,8.996,Alpine
65,Point,T-6829,1640,130,400-600 AD,Vestfold,Norway,Charcoal,Hørdalen,Other,Betula,Betula,Sandefjord,59.2,10.2333,Boreal
66,Point,T-11367,5445,130,4600-4400 BC,Vest-Agder,Norway,Charcoal,Lundevågen,Other,Betula,Betula,Farsund,58.0833,6.7833,Atlantic
67,Point,Beta-205994,6320,130,5400-5200 BC,Hedmark,Norway,Charcoal,Knubbetjern,Other,Pinus,Pinus,Åmot,61.137,11.443,Boreal
68,Point,T-3620,6790,130,5800-5600 BC,Buskerud,Norway,Charcoal,Øljuvatn,Other,Juniper,Juniper,Hol,60.8,7.7833,Alpine
69,Point,T-4748,2180,130,800-600 BC,Oppland,Norway,Charcoal,Lomen,Other,"Pinus, Salix, Betula",Betula,Vestre Slidre,61.061,8.996,Alpine
70,Point,T-15356,5079,128,4000-3800 BC,Buskerud,Norway,Charcoal,Slottet,Settlement site,Salix/Populus,Salix,Hurum,59.65,10.5833,Boreal
71,Point,T-10443,6098,128,5200-5000 BC,Akershus,Norway,Charcoal,Habberstad,Settlement site,"Betula, Pinus",Betula,Ullensaker,60.1167,11.25,Boreal
72,Point,T-10443,6098,128,5200-5000 BC,Akershus,Norway,Charcoal,Habberstad,Settlement site,"Betula, Pinus",Pinus,Ullensaker,60.1167,11.25,Boreal
73,Point,T-10652,1996,127,1-200 AD,Hedmark,Norway,Charcoal,Gaustadmoen,Other,Pinus,Pinus,Eidskog,59.95,12.1667,Boreal
74,Point,T-9574,2196,126,400-200 BC,Oppland,Norway,Charcoal,Tråvika,Other,Pinus,Pinus,Nord Fron,61.65,9.3333,Alpine
75,Point,T-18133,8545,125,8000-7500 BC,Hedmark,Norway,Charcoal,Knubba,Other,Pinus,Pinus,Åmot,61.137,11.443,Boreal
76,Point,T-10831,8377,124,7500-7000 BC,Oppland,Norway,Charcoal,Øverbymarka 2,Other,Pinus,Pinus,Gjøvik,60.8,10.6167,Boreal
77,Point,T-12791,3255,122,1600-1400 BC,Akershus,Norway,Charcoal,Haug,Settlement site,Pinus,Pinus,Ullensaker,60.1333,11.15,Boreal
78,Point,T-13387,3071,121,1400-1200 BC,Vestfold,Norway,Charcoal,Tømmerås,Other,Quercus,Quercus,Sande,59.5,10.1667,Boreal
79,Point,T-12080,5800,121,4800-4600 BC,Hedmark,Norway,Charcoal,Persmyrkoia,Settlement site,Pinus,Pinus,Åmot,61.2,11.45,Boreal
80,Point,T-1930,1880,120,1-200 AD,Vest-Agder,Norway,Charcoal,Augland,Other,Alnus,Alnus,Kristiansand,58.1333,7.9333,Atlantic
81,Point,T-1301,740,120,1200-1400 AD,Hordaland,Norway,Charcoal,Fet,Iron production site,Pinus,Pinus,Eidfjord,60.49,7.168,Atlantic
82,Point,T-7917,710,120,1200-1400 AD,Oppland,Norway,Wood,Dokkfløyvatn,Other,Pinus,Pinus,Gausdal,61.1667,9.95,Alpine
83,Point,T-7000,3120,120,1400-1200 BC,Aust-Agder,Norway,Charcoal,Bø,Settlement site,Pinus,Pinus,Bygland,58.7,7.7167,Boreal
84,Point,T-6485,2100,120,200-1 BC,Sogn og Fjordane,Norway,Charcoal,Jfp 29,Iron production site,Pinus,Pinus,Aurland,60.853,7.113,Atlantic
85,Point,T-8116,4610,120,3400-3200 BC,Oppland,Norway,Charcoal,Dokkfløyvatn,Other,Pinus,Pinus,Gausdal,61.1667,9.95,Alpine
86,Point,Ua-380,1340,120,400-600 AD,Buskerud,Norway,Charcoal,K1,Iron production site,Betula,Betula,Ål,60.715,7.616,Alpine
87,Point,T-7703,5420,120,4400-4200 BC,Oppland,Norway,Charcoal,Dokkfløyvatn,Other,"Pinus, Salix",Salix,Gausdal,61.1667,9.95,Alpine
88,Point,T-7703,5420,120,4400-4200 BC,Oppland,Norway,Charcoal,Dokkfløyvatn,Other,"Pinus, Salix",Pinus,Gausdal,61.1667,9.95,Alpine
89,Point,T-1102,2350,120,600-400 BC,Østfold,Norway,Charcoal,Hunn 1,Iron production site,Juniper?,Juniper,Borge,59.1833,11.05,Boreal
90,Point,Ua-374,1200,120,600-800 AD,Buskerud,Norway,Charcoal,Guriset,Iron production site,Betula,Betula,Gol,60.719,9.019,Boreal
91,Point,Ua-372,950,120,600-800 AD,Buskerud,Norway,Charcoal,Flå1,Iron production site,Betula,Betula,Flå,60.394,9.537,Boreal
92,Point,T-8118,7610,120,6500-6000 BC,Oppland,Norway,Charcoal,Dokkfløyvatn,Iron production site,Pinus,Pinus,Gausdal,61.1667,9.95,Alpine
93,Point,T-18132,8595,120,8000-7500 BC,Hedmark,Norway,Charcoal,Knubba,Other,Pinus,Pinus,Åmot,61.137,11.443,Boreal
94,Point,T-7770,2270,120,800-600 BC,Rogaland,Norway,Charcoal,Tagholt,Iron production site,Betula,Betula,Lund,58.463,6.528,Atlantic
95,Point,T-12082,4399,119,3200-3000 BC,Hedmark,Norway,Charcoal,Persmyrkoia,Settlement site,Pinus,Pinus,Åmot,61.2,11.45,Boreal
96,Point,T-12423,1407,118,600-800 AD,Akershus,Norway,Charcoal,Garder,Settlement site,"Betula, Pinus",Betula,Ullensaker,60.1833,11.05,Boreal
97,Point,T-12423,1407,118,600-800 AD,Akershus,Norway,Charcoal,Garder,Settlement site,"Betula, Pinus",Pinus,Ullensaker,60.1833,11.05,Boreal
98,Point,T-9468,868,116,1000-1200 AD,Oppland,Norway,Charcoal,Bråtehagan,Other,Picea,Picea,Vestre Slidre,61.061,8.996,Alpine
99,Point,Tua-1998,3298,116,1600-1400 BC,Vestfold,Norway,Charcoal,Tømmerås,Settlement site,Betula,Betula,Sande,59.5,10.1667,Boreal
100,Point,T-8804,7480,116,6500-6000 BC,Østfold,Norway,Charcoal,Saugbruksforeningen,Settlement site,Pinus,Pinus,Halden,59.1333,11.8333,Boreal
101,Point,Ua-481,700,115,1200-1400 AD,Oppland,Norway,Charcoal,Svatsum,Iron production site,"Alnus, Pinus, Salix caprea",Salix,Gausdal,61.266,10.071,Alpine
102,Point,Ua-481,700,115,1200-1400 AD,Oppland,Norway,Charcoal,Svatsum,Iron production site,"Alnus, Pinus, Salix caprea",Alnus,Gausdal,61.266,10.071,Alpine
103,Point,Ua-481,700,115,1200-1400 AD,Oppland,Norway,Charcoal,Svatsum,Iron production site,"Alnus, Pinus, Salix caprea",Pinus,Gausdal,61.266,10.071,Alpine
104,Point,Ua-482,580,115,1200-1400 AD,Oppland,Norway,Charcoal,Svatsum,Iron production site,Betula,Betula,Gausdal,61.266,10.071,Alpine
105,Point,T-15311,4845,115,3600-3400 BC,Østfold,Norway,Charcoal,Bjørnstad søndre,Settlement site,"Betula, Corylus",Betula,Sarpsborg,59.2833,11.05,Boreal
106,Point,T-15311,4845,115,3600-3400 BC,Østfold,Norway,Charcoal,Bjørnstad søndre,Settlement site,"Betula, Corylus",Corylus,Sarpsborg,59.2833,11.05,Boreal
107,Point,T-11021,3684,114,2200-2000 BC,Vestfold,Norway,Charcoal,Fevang,Other,Quercus,Quercus,Sandefjord,59.2,10.25,Boreal
108,Point,T-9476,3993,114,2600-2400 BC,Hedmark,Norway,Charcoal,Vangsåsen,Other,Corylus,Corylus,Vang,61.156,8.743,Alpine
109,Point,T-8813,7239,114,6500-6000 BC,Østfold,Norway,Charcoal,Skakkestad,Settlement site,Prunus,Prunus,Halden,59.1333,11.8333,Boreal
110,Point,Ua-50888,2290,112,400-200 BC,Østfold,Norway,Charcoal,Gjølsjøødegården,Settlement site,Quercus,Quercus,Marker,59.4786,11.7385,Boreal
111,Point,T-10630,3595,111,2000-1800 BC,Vestfold,Norway,Charcoal,Fyllpå,Other,Ulmus,Ulmus,Tønsberg,59.3149,10.3673,Boreal
112,Point,T-12078,5646,111,4600-4400 BC,Hedmark,Norway,Charcoal,Persmyrkoia,Other,Pinus,Pinus,Åmot,61.2,11.45,Boreal
113,Point,T-1182,980,110,1000-1200 AD,Telemark,Norway,Charcoal,R4,Iron production site,Pinus,Pinus,Vinje,59.828,8.117,Alpine
114,Point,T-10655,2785,110,1000-800 BC,Buskerud,Norway,Charcoal,Furumo,Other,Pinus,Pinus,Modum,59.9333,9.95,Boreal
115,Point,T-10459,1974,110,1-200 AD,Akershus,Norway,Charcoal,Vågstad,Other,"Betula, Pinus",Betula,Ullensaker,60.1167,11.25,Boreal
116,Point,T-10459,1974,110,1-200 AD,Akershus,Norway,Charcoal,Vågstad,Other,"Betula, Pinus",Pinus,Ullensaker,60.1167,11.25,Boreal
117,Point,T-1609,1730,110,1-200 AD,Telemark,Norway,Charcoal,Stegaros,Other,Betula,Betula,Tinn,60.0833,8.2833,Alpine
118,Point,T-1586,1860,110,1-200 AD,Trøndelag,Norway,Charcoal,Hoset,Iron production site,Pinus,Pinus,Stjørdal,63.465,11.179,Atlantic
119,Point,T-1710,1690,110,1-200 AD,Telemark,Norway,Charcoal,Stegaros,Settlement site,Betula,Betula,Tinn,60.0833,8.2833,Alpine
120,Point,Beta-78795,640,110,1200-1400 AD,Akershus,Norway,Charcoal,Gardermoen,Iron production site,Pinus,Pinus,Ullensaker,60.149,11.196,Boreal
121,Point,Ua-485,560,110,1200-1400 AD,Oppland,Norway,Charcoal,Svatsum,Iron production site,Betula,Betula,Gausdal,61.266,10.071,Alpine
122,Point,T-1074,780,110,1200-1400 AD,Telemark,Norway,Charcoal,K 21,Iron production site,Picea,Picea,Vinje,59.828,8.117,Alpine
123,Point,T-7688,590,110,1200-1400 AD,Oppland,Norway,Charcoal,Jfp.36,Iron production site,Picea,Picea,Gausdal,61.266,10.071,Alpine
124,Point,T-7488,770,110,1200-1400 AD,Oppland,Norway,Charcoal,Dokkfløyvatn,Other,Pinus,Pinus,Gausdal,61.1667,9.95,Alpine
125,Point,T-7907,460,110,1200-1400 AD,Oppland,Norway,Birch bark,Dokkfløyvatn,Other,Betula,Betula,Gausdal,61.1667,9.95,Alpine
126,Point,T-3434,2990,110,1400-1200 BC,Østfold,Norway,Charcoal,Gunnarstorp,Other,Betula,Betula,Skjeberg,59.2,11.1333,Boreal
127,Point,T-4752,1880,110,200-1 BC,Oppland,Norway,Charcoal,Stee,Other,Betula,Betula,Vestre Slidre,61.1333,8.8833,Boreal
128,Point,T-1188,2070,110,200-1 BC,Hordaland,Norway,Charcoal,Fet,Iron production site,Pinus,Pinus,Eidfjord,60.49,7.168,Atlantic
129,Point,T-6668,2080,110,200-1 BC,Vestfold,Norway,Charcoal,Hørdalen,Other,Corylus,Corylus,Sandefjord,59.2,10.2333,Boreal
130,Point,T-1928,1780,110,200-400 AD,Vest-Agder,Norway,Charcoal,Augland,Other,"Alnus, Pinus",Alnus,Kristiansand,58.1333,7.9333,Atlantic
131,Point,T-1928,1780,110,200-400 AD,Vest-Agder,Norway,Charcoal,Augland,Other,"Alnus, Pinus",Pinus,Kristiansand,58.1333,7.9333,Atlantic
132,Point,T-1819,1810,110,200-400 AD,Hordaland,Norway,Charcoal,Fet,Iron production site,Pinus,Pinus,Eidfjord,60.49,7.168,Atlantic
133,Point,T-6998,1700,110,200-400 AD,Aust-Agder,Norway,Charcoal,Horverak,Iron production site,Pinus,Pinus,Bygland,58.6821,7.7832,Boreal
134,Point,T-3128,4880,110,3800-3600 BC,Aust-Agder,Norway,Charcoal,Hæstad,Settlement site,Quercus,Quercus,Lillesand,58.1523,8.209,Boreal
135,Point,T-4353,2180,110,400-200 BC,Oppland,Norway,Charcoal,Vuludalen,Other,Betula,Betula,Nord Fron,61.1333,10.1167,Alpine
136,Point,Ua-376,1470,110,400-600 AD,Buskerud,Norway,Charcoal,Hemse1,Iron production site,Pinus,Pinus,Hemsedal,60.9,8.845,Alpine
137,Point,T-19316,6095,110,5200-5000 BC,Hedmark,Norway,Charcoal,Melvold (S8),Other,Pinus,Pinus,Åmot,61.137,11.443,Boreal
138,Point,T-15058,7050,110,6000-5800 BC,Akershus,Norway,Charcoal,Skoklefald,Other,Pinus,Pinus,Nesodden,59.8667,10.6667,Boreal
139,Point,T-1636,1240,110,600-800 AD,Hordaland,Norway,Charcoal,Fet,Iron production site,Betula,Betula,Eidfjord,60.49,7.168,Atlantic
140,Point,T-1645,1430,110,600-800 AD,Telemark,Norway,Charcoal,MøsR2,Iron production site,Pinus,Pinus,Vinje,59.828,8.117,Alpine
141,Point,Ua-375,1135,110,600-800 AD,Buskerud,Norway,Charcoal,Rust,Iron production site,Betula,Betula,Gol,60.719,9.019,Boreal
142,Point,T-1644,1290,110,600-800 AD,Telemark,Norway,Charcoal,MøsR2,Iron production site,Pinus,Pinus,Vinje,59.828,8.117,Alpine
143,Point,Ua-1097,1025,110,600-800 AD,Buskerud,Norway,Charcoal,Ål1,Iron production site,Betula,Betula,Ål,60.715,7.616,Alpine
144,Point,T-1610,8030,110,7000-6500 BC,Telemark,Norway,Charcoal,Stegaros,Other,Pinus,Pinus,Tinn,60.0833,8.2833,Alpine
145,Point,Ua-1098,895,110,800-1000 AD,Buskerud,Norway,Charcoal,Hol1,Iron production site,Betula,Betula,Hol,60.482,8.076,Alpine
146,Point,T-1506,880,110,800-1000 AD,Buskerud,Norway,Charcoal,Ustevatn,Iron production site,Betula,Betula,Hol,60.482,8.076,Alpine
147,Point,T-1646,1190,110,800-1000 AD,Telemark,Norway,Charcoal,R1,Iron production site,Pinus,Pinus,Vinje,59.828,8.117,Alpine
148,Point,T-12776,2641,110,800-600 BC,Akershus,Norway,Charcoal,Haug,Settlement site,"Betula, Pinus",Betula,Ullensaker,60.1333,11.15,Boreal
149,Point,T-12776,2641,110,800-600 BC,Akershus,Norway,Charcoal,Haug,Settlement site,"Betula, Pinus",Pinus,Ullensaker,60.1333,11.15,Boreal
150,Point,T-12763,1907,109,1-200 AD,Akershus,Norway,Charcoal,Ullern,Settlement site,"Betula, Pinus",Betula,Ullensaker,60.1,11.1,Boreal
151,Point,T-12763,1907,109,1-200 AD,Akershus,Norway,Charcoal,Ullern,Settlement site,"Betula, Pinus",Pinus,Ullensaker,60.1,11.1,Boreal
152,Point,T-13041,1900,109,1-200 AD,Vest-Agder,Norway,Macrofossil,Lunde,Other,Hazelnut shell,Corylus,Farsund,58.0833,6.7833,Atlantic
153,Point,T-15781,2739,108,1000-800 BC,Østfold,Norway,Charcoal,Evje,Settlement site,Betula,Betula,Rygge,59.3667,10.6833,Boreal
154,Point,T-14441,3090,108,1400-1200 BC,Akershus,Norway,Charcoal,Solhellinga,Other,"Betula, Pinus",Betula,Ullensaker,60.15,11.1333,Boreal
155,Point,T-14441,3090,108,1400-1200 BC,Akershus,Norway,Charcoal,Solhellinga,Other,"Betula, Pinus",Pinus,Ullensaker,60.15,11.1333,Boreal
156,Point,T-11631,2975,108,1600-1400 BC,Oppland,Norway,Charcoal,Vestre Slidre prestegård,Other,Betula,Betula,Vestre Slidre,61.1,8.9667,Boreal
157,Point,T-12768,3104,107,1400-1200 BC,Akershus,Norway,Charcoal,Haug,Settlement site,Pinus,Pinus,Ullensaker,60.1333,11.15,Boreal
158,Point,T-13002,2148,106,400-200 BC,Vestfold,Norway,Charcoal,Haga,Other,Corylus,Corylus,Sandefjord,59.1167,10.25,Boreal
159,Point,Ua-484,590,105,1200-1400 AD,Oppland,Norway,Charcoal,Svatsum,Iron production site,Betula,Betula,Gausdal,61.266,10.071,Alpine
160,Point,T-11555,2003,105,200-1 BC,Hedmark,Norway,Charcoal,Engelaug østre,Other,Salix,Salix,Løten,60.8,11.3,Boreal
161,Point,T-11563,2084,105,200-1 BC,Hedmark,Norway,Charcoal,Engelaug vestre,Settlement site,Betula,Betula,Løten,60.8,11.3,Boreal
162,Point,T-13136,5863,105,4800-4600 BC,Akershus,Norway,Charcoal,Vinterbro,Settlement site,Pinus,Pinus,Ås,59.75,10.7833,Boreal
163,Point,T-19387,6365,105,5400-5200 BC,Hedmark,Norway,Charcoal,Melvold (S7),Other,Pinus,Pinus,Åmot,61.137,11.443,Boreal
164,Point,T-11054,1413,105,600-800 AD,Hedmark,Norway,Charcoal,Nashaug,Settlement site,"Picea, Pinus",Picea,Hamar,61.0833,11.1667,Boreal
165,Point,T-11054,1413,105,600-800 AD,Hedmark,Norway,Charcoal,Nashaug,Settlement site,"Picea, Pinus",Pinus,Hamar,61.0833,11.1667,Boreal
166,Point,T-11407,2519,105,800-600 BC,Østfold,Norway,Charcoal,Gunnarstorp,Other,Betula,Betula,Sarpsborg,59.2167,11.1333,Boreal
167,Point,T-19364,2240,105,800-600 BC,Oppland,Norway,Charcoal,Krøsshaugen,Other,Betula,Betula,Øystre Slidre,61.184,9.06,Boreal
168,Point,T-9196,2525,105,800-600 BC,Oppland,Norway,Charcoal,N. bjørke,Other,Betula,Betula,Gran,60.419,10.506,Boreal
